Provinsi,Kab.Kota
Papua Barat,Pinrang
Maluku Utara,Pidie Jaya
Maluku Utara,Pidie
Sulawesi Tenggara,Pesisir Selatan
Kalimantan Utara,Pesisir Barat
Kalimantan Timur,Pesawaran
Sulawesi Utara,Penukal Abab Lematang Ilir
Kalimantan Tengah,Penajam Paser Utara
Sumatera Barat,Pematang Siantar
Jawa Tengah,Pemalang
Papua,Pelalawan
Papua,Pekanbaru
Jawa Barat,Pekalongan
Nusa Tenggara Timur (NTT),Pegunungan Bintang
Nusa Tenggara Timur (NTT),Pegunungan Arfak
Sulawesi Tenggara,Payakumbuh
Jawa Tengah,Pati
Jawa Timur,Pasuruan
Kalimantan Tengah,Paser
Sulawesi Tenggara,Pasaman Barat
Sulawesi Tenggara,Pasaman
Riau,Parigi Moutong
Sulawesi Tenggara,Pariaman
Papua Barat,Parepare
Nusa Tenggara Timur (NTT),Paniai
Bangka Belitung,Pangkal Pinang
Papua Barat,Pangkajene Kepulauan
Jawa Barat,Pangandaran
Banten,Pandeglang
Jawa Timur,Pamekasan
Riau,Palu
Papua Barat,Palopo
Sulawesi Utara,Palembang
Kalimantan Selatan,Palangka Raya
Sumatera Barat,Pakpak Bharat
Sulawesi Utara,Pagar Alam
Sumatera Barat,Padang Sidempuan
Sulawesi Tenggara,Padang Pariaman
Sulawesi Tengah,Padang Panjang
Sumatera Barat,Padang Lawas Utara
Sumatera Barat,Padang Lawas
Sulawesi Tengah,Padang
Jawa Timur,Pacitan
Sulawesi Utara,Ogan Komering Ulu Timur
Sulawesi Utara,Ogan Komering Ulu Selatan
Sulawesi Utara,Ogan Komering Ulu
Sulawesi Utara,Ogan Komering Ilir
Sulawesi Utara,Ogan Ilir
Kalimantan Tengah,Nunukan
Sumatera Barat,Nias Utara
Sumatera Barat,Nias Selatan
Sumatera Barat,Nias Barat
Sumatera Barat,Nias
Jawa Timur,Ngawi
Jawa Timur,Nganjuk
Nusa Tenggara Barat (NTB),Ngada
Kabupaten,Nduga
Kalimantan Tengah,Natuna
Nusa Tenggara Barat (NTB),Nagekeo
Maluku Utara,Nagan Raya
Kabupaten,Nabire
Sulawesi Utara,Musi Rawas Utara
Sulawesi Utara,Musi Rawas
Sulawesi Tenggara,Musi Banyuasin
Kalimantan Selatan,Murung Raya
Sulawesi Selatan,Muna Barat
Sulawesi Selatan,Muna
Bengkulu,Muko Muko
Jambi,Muaro Jambi
Sulawesi Tenggara,Muara Enim
Riau,Morowali Utara
Riau,Morowali
Jawa Timur,Mojokerto
Sulawesi Tengah,Minahasa Utara
Sulawesi Tengah,Minahasa Tenggara
Sulawesi Tengah,Minahasa Selatan
Sulawesi Tengah,Minahasa
Kabupaten,Mimika
Kalimantan Timur,Metro
Kalimantan Timur,Mesuji
Kabupaten,Merauke
Gorontalo,Merangin
Jawa Timur,Mempawah
Jawa Timur,Melawi
Sumatera Barat,Medan
Nusa Tenggara Timur (NTT),Maybrat
Nanggroe Aceh Darussalam (NAD),Mataram
Papua Barat,Maros
Kabupaten,Mappi
Nusa Tenggara Timur (NTT),Manokwari Selatan
Nusa Tenggara Timur (NTT),Manokwari
Nusa Tenggara Barat (NTB),Manggarai Timur
Nanggroe Aceh Darussalam (NAD),Manggarai Barat
Nanggroe Aceh Darussalam (NAD),Manggarai
Sumatera Barat,Mandailing Natal
Sulawesi Tengah,Manado
Papua,Mamuju Utara
Papua,Mamuju Tengah
Papua,Mamuju
Kabupaten,Mamberamo Tengah
Kabupaten,Mamberamo Raya
Papua,Mamasa
Lampung,Maluku Tenggara Barat
Lampung,Maluku Tenggara
Kepulauan Riau,Maluku Tengah
Kepulauan Riau,Maluku Barat Daya
Kalimantan Tengah,Malinau
Jawa Timur,Malang
Nanggroe Aceh Darussalam (NAD),Malaka
Papua Barat,Makassar
Papua,Majene
Jawa Barat,Majalengka
Kalimantan Selatan,Mahakam Ulu
Jawa Timur,Magetan
Jawa Tengah,Magelang
Jawa Tengah,Madiun
Papua Barat,Luwu Utara
Papua Barat,Luwu Timur
Papua Barat,Luwu
Jawa Tengah,Lumajang
Sulawesi Tenggara,Lubuk Linggau
Nanggroe Aceh Darussalam (NAD),Lombok Utara
Nanggroe Aceh Darussalam (NAD),Lombok Timur
Nanggroe Aceh Darussalam (NAD),Lombok Tengah
Nanggroe Aceh Darussalam (NAD),Lombok Barat
Kalimantan Tengah,Lingga
Sulawesi Tengah,Lima Puluh Kota
Maluku Utara,Lhokseumawe
Nanggroe Aceh Darussalam (NAD),Lembata
Bengkulu,Lebong
Banten,Lebak
Kabupaten,Lanny Jaya
Sumatera Barat,Langkat
Jawa Timur,Landak
Kalimantan Timur,Lampung Utara
Kalimantan Timur,Lampung Timur
Kalimantan Timur,Lampung Tengah
Kalimantan Timur,Lampung Selatan
Kalimantan Timur,Lampung Barat
Jawa Tengah,Lamongan
Kalimantan Selatan,Lamandau
Sulawesi Tenggara,Lahat
Sumatera Barat,Labuhanbatu Utara
Sumatera Barat,Labuhanbatu Selatan
Sumatera Barat,Labuhanbatu
Kalimantan Selatan,Kutai Timur
Kalimantan Selatan,Kutai Kartanegara
Kalimantan Selatan,Kutai Barat
Nanggroe Aceh Darussalam (NAD),Kupang
Jawa Barat,Kuningan
DI Yogyakarta,Kulon Progo
Jawa Tengah,Kudus
Jawa Timur,Kubu Raya
Papua,Kuantan Singingi
Kalimantan Barat,Kotawaringin Timur
Kalimantan Barat,Kotawaringin Barat
Sulawesi Selatan,Kotamobagu
Kalimantan Barat,Kotabaru
Sulawesi Selatan,Konawe Utara
Sulawesi Selatan,Konawe Selatan
Sulawesi Selatan,Konawe Kepulauan
Sulawesi Selatan,Konawe
Sulawesi Selatan,Kolaka Utara
Sulawesi Selatan,Kolaka Timur
Sulawesi Selatan,Kolaka
Bali,Klungkung
Jawa Barat,Klaten
Jawa Timur,Ketapang
Jambi,Kerinci
Kabupaten,Kepulauan Yapen
Sulawesi Selatan,Kepulauan Talaud
Lampung,Kepulauan Sula
Sulawesi Selatan,Kepulauan Siau Tagulandang Biaro (Sitaro)
DKI Jakarta,Kepulauan Seribu
Papua,Kepulauan Selayar
Sulawesi Selatan,Kepulauan Sangihe
Papua,Kepulauan Meranti
Sulawesi Tengah,Kepulauan Mentawai
Kepulauan Riau,Kepulauan Aru
Kalimantan Tengah,Kepulauan Anambas
Bengkulu,Kepahiang
Sulawesi Selatan,Kendari
Jawa Tengah,Kendal
Kabupaten,Keerom
Jawa Tengah,Kediri
Jawa Tengah,Kebumen
Jawa Timur,Kayong Utara
Bengkulu,Kaur
Kalimantan Barat,Katingan
Sumatera Barat,Karo
Kalimantan Tengah,Karimun
Jawa Barat,Karawang
Bali,Karangasem
Jawa Tengah,Karanganyar
Jawa Timur,Kapuas Hulu
Kalimantan Barat,Kapuas
Papua,Kampar
Nusa Tenggara Timur (NTT),Kaimana
Jawa Tengah,Jombang
Jawa Tengah,Jepara
Papua,Jeneponto
Bali,Jembrana
Jawa Tengah,Jember
Kabupaten,Jayawijaya
Kabupaten,Jayapura
Jambi,Jambi
DI Yogyakarta,Jakarta Utara
DKI Jakarta,Jakarta Timur
DI Yogyakarta,Jakarta Selatan
DKI Jakarta,Jakarta Pusat
DKI Jakarta,Jakarta Barat
Kabupaten,Intan Jaya
Jambi,Indramayu
Papua,Indragiri Hulu
Papua,Indragiri Hilir
Sumatera Barat,Humbang Hasundutan
Kalimantan Barat,Hulu Sungai Utara
Jawa Timur,Hulu Sungai Tengah
Jawa Timur,Hulu Sungai Selatan
Lampung,Halmahera Utara
Lampung,Halmahera Timur
Lampung,Halmahera Tengah
Lampung,Halmahera Selatan
Lampung,Halmahera Barat
Sumatera Barat,Gunungsitoli
Kalimantan Barat,Gunung Mas
Bengkulu,Gunung Kidul
Jawa Barat,Grobogan
Jawa Tengah,Gresik
Papua,Gowa
Gorontalo,Gorontalo Utara
Gorontalo,Gorontalo
Bali,Gianyar
Maluku Utara,Gayo Lues
Jawa Barat,Garut
Nanggroe Aceh Darussalam (NAD),Flores Timur
Nusa Tenggara Timur (NTT),Fakfak
Papua,Enrekang
Nanggroe Aceh Darussalam (NAD),Ende
Sulawesi Tenggara,Empat Lawang
Papua,Dumai
Riau,Donggala
Nanggroe Aceh Darussalam (NAD),Dompu
Kabupaten,Dogiyai
Sulawesi Tengah,Dharmasraya
Jawa Barat,Depok
Bali,Denpasar
Jawa Barat,Demak
Sumatera Barat,Deli Serdang
Kabupaten,Deiyai
Sulawesi Utara,Dairi
Jambi,Cirebon
Jawa Barat,Cimahi
Banten,Cilegon
Jawa Tengah,Cilacap
Jambi,Cianjur
Jawa Barat,Ciamis
Sulawesi Selatan,Buton Utara
Sulawesi Selatan,Buton Tengah
Sulawesi Selatan,Buton Selatan
Sulawesi Selatan,Buton
Kepulauan Riau,Buru Selatan
Kepulauan Riau,Buru
Riau,Buol
Jambi,Bungo
Kalimantan Tengah,Bulungan
Papua,Bulukumba
Bali,Buleleng
Sulawesi Tengah,Bukittinggi
Jawa Tengah,Brebes
Jawa Barat,Boyolali
DT2,Boven Digoel
Kalimantan Selatan,Bontang
Gorontalo,Bone Bolango
Papua,Bone
Jawa Tengah,Bondowoso
Sulawesi Barat,Bombana
Sulawesi Selatan,Bolaang Mongondow Utara
Sulawesi Selatan,Bolaang Mongondow Timur
Sulawesi Selatan,Bolaang Mongondow Selatan
Sulawesi Selatan,Bolaang Mongondow
Jawa Tengah,Bojonegoro
Jawa Barat,Bogor
DKI Jakarta,Boalemo
Jawa Tengah,Blora
Jawa Tengah,Blitar
Sulawesi Selatan,Bitung
Maluku Utara,Bireuen
Kalimantan Tengah,Bintan
Sulawesi Utara,Binjai
Nanggroe Aceh Darussalam (NAD),Bima
"DT2 Kota, Kabupaten  ",Biak Numfor
Kalimantan Selatan,Berau
Bengkulu,Bengkulu Utara
Banten,Bengkulu Tengah
Bengkulu,Bengkulu Selatan
Bengkulu,Bengkulu
Jawa Timur,Bengkayang
Papua,Bengkalis
Maluku Utara,Bener Meriah
Nanggroe Aceh Darussalam (NAD),Belu
Bangka Belitung,Belitung Timur
Bangka Belitung,Belitung
Jawa Barat,Bekasi
Sulawesi Barat,Bau-Bau
Sulawesi Utara,Batu Bara
Jawa Tengah,Batu
Jambi,Batang Hari
Jawa Barat,Batang
Kalimantan Tengah,Batam
Papua,Barru
Kalimantan Barat,Barito Utara
Kalimantan Barat,Barito Timur
Kalimantan Barat,Barito Selatan
Jawa Timur,Barito Kuala
Jawa Tengah,Banyuwangi
Jawa Tengah,Banyumas
Sulawesi Tenggara,Banyuasin
DI Yogyakarta,Bantul
Papua,Bantaeng
Jawa Tengah,Banjarnegara
Jawa Timur,Banjarmasin
Jawa Timur,Banjarbaru
Jawa Barat,Banjar
Bali,Bangli
Jawa Tengah,Bangkalan
Bangka Belitung,Bangka Tengah
Bangka Belitung,Bangka Selatan
Bangka Belitung,Bangka Barat
Bangka Belitung,Bangka
Riau,Banggai Laut
Riau,Banggai Kepulauan
Riau,Banggai
Jawa Barat,Bandung Barat
Jawa Barat,Bandung
Kalimantan Timur,Bandar Lampung
Maluku Utara,Banda Aceh
Kalimantan Selatan,Balikpapan
Jawa Timur,Balangan
Bali,Badung
Nusa Tenggara Timur (NTT),Asmat
Sulawesi Utara,Asahan
Kepulauan Riau,Ambon
Nanggroe Aceh Darussalam (NAD),Alor
Sulawesi Tengah,Agam
Maluku,Aceh Utara
Maluku,Aceh Timur
Maluku,Aceh Tenggara
Maluku,Aceh Tengah
Maluku,Aceh Tamiang
Maluku,Aceh Singkil
Maluku,Aceh Selatan
Maluku,Aceh Jaya
Maluku,Aceh Besar
Maluku,Aceh Barat Daya
Maluku,Aceh Barat
