Wilayah,Arealist
,Kode Wilayah
Kab. Lima Puluh Koto,080300
Kab. Solok,080400
Kab. Sijunjung,080800
Kab. Kepulauan Mentawai,081000
Kab. Solok Selatan,081100
Kab. Dharmasraya,081200
Kota Pariaman,086600
Kab. Pasaman Barat,081300
Kota Bukittinggi,086000
Kota Padang,086100
Kota Padang Panjang,086200
Kota Sawah Lunto,086300
Kota Solok,086400
Kota Payakumbuh,086500
Kab. Padang Pariaman,080500
Kab. Pesisir Selatan,080600
Kab. Tanah Datar,080700
Kab. Agam,080100
Prov. Riau,090000
Kab. Pelalawan,090800
Kab. Rokan Hulu,090900
Kab. Kuantan Singingi,091400
Kab. Kepulauan Meranti,091500
Kab. Kampar,090100
Kab. Bengkalis,090200
Kota Pekanbaru,096000
Kota Dumai,096200
Kab. Rokan Hilir,091000
Kab. Siak,091100
Kab. Indragiri Hulu,090400
Kab. Indragiri Hilir,090500
Prov. Jambi,100000
Kab. Tebo,100600
Kota Jambi,106000
Kota Sungai Penuh,106100
Kab. Batang Hari,100100
Kab. Bungo,100200
Kab. Muaro Jambi,100700
Kab. Tanjung Jabung Timur,100800
Kab. Merangin,100900
Kab. Sarolangun,100300
Kab. Tanjung Jabung Barat,100400
Kab. Kerinci,100500
Prov. Sumatera Selatan,110000
Kab. Ogan Ilir,111000
Kab. Empat Lawang,111100
Kab. Musi Banyuasin,110100
Kab. Banyuasin,110700
Kota Pagar Alam,116300
Kab. Musi Rawas,110600
Kab. Ogan Komering Ulu Timur,110800
Kab. Lahat,110500
Kab. Ogan Komering Ilir,110200
Kab. Ogan Komering Ulu,110300
Kab. Muara Enim,110400
Kab. Penukal Abab Lematang Ilir,111200
Kab. Musi Rawas Utara,111300
Kota Palembang,116000
Kota Prabumulih,116100
Kota Lubuk Linggau,116200
Kab. Ogan Komering Ulu Selatan,110900
Prov. Lampung,120000
Kab. Mesuji,121100
Kab. Tulang Bawang Barat,121200
Kab. Pesisir Barat,121300
Kab. Lampung Selatan,120100
Kab. Lampung Tengah,120200
Kab. Lampung Timur,120700
Kab. Way Kanan,120800
Kab. Tulang Bawang,120500
Kab. Tanggamus,120600
Kab. Lampung Utara,120300
Kab. Lampung Barat,120400
Kota Bandar Lampung,126000
Kota Metro,126100
Kab. Pesawaran,120900
Kab. Pringsewu,121000
Prov. Kalimantan Barat,130000
Kab. Bengkayang,130800
Kab. Landak,130900
Kab. Sekadau,131000
Kab. Mempawah,130200
Kab. Sanggau,130300
Kab. Sintang,130400
Kota Singkawang,136100
Kab. Kapuas Hulu,130500
Kab. Sambas,130100
Kab. Melawi,131100
Kab. Kayong Utara,131200
Kab. Kuburaya,131300
Kota Pontianak,136000
Kab. Ketapang,130600
Prov. Kalimantan Tengah,140000
Kab. Barito Timur,141300
Kota Palangka Raya,146000
Kab. Kapuas,140100
Kab. Barito Selatan,140200
Kab. Katingan,140600
Kab. Seruyan,140700
Kab. Sukamara,140800
Kab. Barito Utara,140300
Kab. Kotawaringin Timur,140400
Kab. Kotawaringin Barat,140500
Kab. Lamandau,140900
Kab. Gunung Mas,141000
Kab. Pulang Pisau,141100
Kab. Murung Raya,141200
Prov. Kalimantan Selatan,150000
Kab. Banjar,150100
Kab. Tapin,150400
Kab. Hulu Sungai Selatan,150500
Kab. Hulu Sungai Tengah,150600
Kab. Tanah Bumbu,151100
Kota Banjarmasin,156000
Kota Banjarbaru,156100
Kab. Hulu Sungai Utara,150700
Kab. Tabalong,150800
Kab. Kotabaru,150900
Kab. Balangan,151000
Kab. Tanah Laut,150200
Kab. Barito Kuala,150300
Prov. Kalimantan Timur,160000
Kab. Kutai Barat,160900
Kab. Kutai Timur,161000
Kab. Paser,160100
Kab. Penajam Paser Utara,161100
Kab. Mahakam Ulu,161200
Kota Samarinda,166000
Kota Balikpapan,166100
Kota Bontang,166300
Kab. Kutai Kartanegara,160200
Kab. Berau,160300
Prov. Sulawesi Utara,170000
Kota Manado,176000
Kota Bitung,176100
Kota Tomohon,176200
Kota Kotamobagu,176300
Kab. Minahasa,170200
Kab. Minahasa Utara,170600
Kab. Bolaang Mongondow Utara,170800
Kab. Kep. Sangihe,170300
Kab. Kepulauan Talaud,170400
Kab. Minahasa Selatan,170500
Kab. Bolaang Mongondow,170100
Kab. Kepulauan Siau Tagulandang Biaro,170900
Kab. Minahasa Tenggara,171000
Kab. Bolaang Mongondow Timur,171100
Kab. Bolaang Mongondow Selatan,171200
Prov. Sulawesi Tengah,180000
Kab. Banggai Kepulauan,180100
Kab. Tojo Una-Una,180900
Kab. Sigi,181000
Kab. Banggai,180400
Kab. Buol,180500
Kab. Tolitoli,180600
Kab. Morowali,180700
Kab. Donggala,180200
Kab. Poso,180300
Kab. Banggai Laut,181100
Kab. Morowali Utara,181200
Kota Palu,186000
Kab. Parigi Moutong,180800
Prov. Sulawesi Selatan,190000
Kab. Luwu Timur,192600
Kab. Toraja Utara,192700
Kab. Pangkajene Kepulauan,190200
Kab. Gowa,190300
Kab. Takalar,190400
Kab. Jeneponto,190500
Kab. Sidenreng Rappang,191500
Kab. Enrekang,191600
Kab. Luwu,191700
Kab. Bulukumba,191100
Kab. Sinjai,191200
Kab. Kepulauan Selayar,191300
Kab. Pinrang,191400
Kab. Barru,190600
Kab. Bone,190700
Kab. Wajo,190800
Kab. Soppeng,190900
Kab. Bantaeng,191000
Kab. Maros,190100
Kota Makassar,196000
Kota Parepare,196100
Kota Palopo,196200
Kab. Tana Toraja,191800
Kab. Luwu Utara,192400
Prov. Sulawesi Tenggara,200000
Kab. Konawe Selatan,200500
Kab. Konawe Utara,200900
Kab. Buton Utara,201000
Kab. Kolaka Timur,201100
Kab. Muna,200200
Kab. Buton,200300
Kota Baubau,206100
Kab. Konawe Kepulauan,201200
Kab. Muna Barat,201300
Kab. Buton Selatan,201400
Kab. Buton Tengah,201600
Kota Kendari,206000
Kab. Konawe,200100
Kab. Wakatobi,200600
Kab. Bombana,200700
Kab. Kolaka Utara,200800
Kab. Kolaka,200400
Prov. Maluku,210000
Kab. Seram Bagian Timur,210600
Kab. Kepulauan Aru,210700
Kota Ambon,216000
Kota Tual,216100
Kab. Maluku Tengah,210100
Kab. Maluku Tenggara,210200
Kab. Maluku Barat Daya,210800
Kab. Buru Selatan,210900
Kab. Buru,210300
Kab. Kepulauan Tanimbar,210400
Kab. Seram Bagian Barat,210500
Prov. Bali,220000
Kab. Buleleng,220100
Kab. Jembrana,220200
Kab. Tabanan,220300
Kab. Badung,220400
Kab. Gianyar,220500
Kab. Klungkung,220600
Kab. Bangli,220700
Kab. Karang Asem,220800
Kota Denpasar,226000
Prov. Nusa Tenggara Barat,230000
Kab. Sumbawa,230400
Kab. Dompu,230500
Kab. Lombok Barat,230100
Kab. Lombok Tengah,230200
Kab. Lombok Timur,230300
Kab. Bima,230600
Kab. Sumbawa Barat,230700
Kab. Lombok Utara,230800
Kota Mataram,236000
Kota Bima,236100
Prov. Nusa Tenggara Timur,240000
Kab. Kupang,240100
Kab. Timor Tengah Selatan,240300
Kab. Lembata,241400
Kab. Rote-Ndao,241500
Kab. Manggarai Barat,241600
Kab. Alor,240600
Kab. Flores Timur,240700
Kab. Manggarai Timur,242000
Kab. Sabu Raijua,242100
Kab. Malaka,242200
Kab. Ngada,241000
Kota Kupang,246000
Kab. Sikka,240800
Kab. Ende,240900
Kab. Timor Tengah Utara,240400
Kab. Belu,240500
Kab. Nagakeo,241700
Kab. Sumba Tengah,241800
Kab. Sumba Barat Daya,241900
Kab. Manggarai,241100
Kab. Sumba Timur,241200
Kab. Sumba Barat,241300
Prov. Papua,250000
Kab. Jaya Wijaya,250800
Kab. Nabire,250900
Kab. Waropen,252600
Kab. Supiori,252700
Kab. Memberamo Raya,252800
Kab. Nduga,252900
Kab. Mimika,251200
Kab. Boven Digoel,251300
Kab. Mappi,251400
kab. Puncak,253300
Kab. Jayapura,250100
Kab. Biak Numfor,250200
Kab. Tolikara,251800
Kab. Dogiyai,253400
Kab. Deiyai,253500
Kab. Intan Jaya,253600
Kota Jayapura,256000
Kab. Pegunungan Bintang,251700
Kab. Asmat,251500
Kab. Yahukimo,251600
Kab. Paniai,251000
Kab. Puncak Jaya,251100
Kab. Lanny Jaya,253000
Kab. Membramo Tengah,253100
Kab. Yalimo,253200
Kab. Kepulauan Yapen,250300
Kab. Merauke,250700
Kab. Sarmi,251900
Kab. Keerom,252000
Prov. Bengkulu,260000
Kab. Muko-muko,260400
Kab. Kepahiang,260500
Kab. Seluma,260800
Kab. Bengkulu Tengah,260900
Kab. Bengkulu Utara,260100
Kota Bengkulu,266000
Kab. Lebong,260600
Kab. Kaur,260700
Kab. Rejang Lebong,260200
Kab. Bengkulu Selatan,260300
Prov. Maluku Utara,270000
Kota Ternate,276000
Kota Tidore Kepulauan,276100
Kab. halmahera Utara,270400
Kab. Halmahera Selatan,270500
Kab. Pulau Taliabu,270100
Kab. Halmahera Tengah,270200
Kab. Halmahera Barat,270300
Kab. Halmahera Timur,270600
Kab. Kepulauan Sula,270700
Kab. Kepulauan Morotai,270800
Prov. Banten,280000
Kab. Pandeglang,280100
Kab. Tangerang,280300
Kab. Serang,280400
Kota Cilegon,286000
Kota Tangerang,286100
Kota Serang,286200
Kota Tangerang Selatan,286300
Kab. Lebak,280200
Prov. Kepulauan Bangka Belitung,290000
Kab. Bangka Barat,290400
Kab. Bangka Selatan,290500
Kab. Belitung Timur,290600
Kota Pangkalpinang,296000
Kab. Bangka,290100
Kab. Belitung,290200
Kab. Bangka Tengah,290300
Prov. Gorontalo,300000
Kab. Gorontalo Utara,300500
Kota Gorontalo,306000
Kab. Boalemo,300100
Kab. Gorontalo,300200
Kab. Pohuwato,300300
Kab. Bone Bolango,300400
Prov. Kepulauan Riau,310000
Kab. Bintan,310100
Kab. Karimun,310200
Kab. Natuna,310300
Kab. Lingga,310400
Kab. Kepulauan Anambas,310500
Kota Batam,316000
Kota Tanjungpinang,316100
Prov. Papua Barat,320000
Kab. Tambrauw,320900
Kab. Maybrat,321000
Kab. Pegunungan Arfak,321100
Kab. Kaimana,320200
Kab. Teluk Wondama,320300
Kab. Teluk Bintuni,320400
Kab. Sorong Selatan,320600
Kab. Sorong,320700
Kab. Manokwari,320500
Kab. Fak-Fak,320100
Kab. Manokwari Selatan,321200
Kota Sorong,326000
Kab. Raja Ampat,320800
Prov. Sulawesi Barat,330000
Kab. Polewali Mandar,330300
Kab. Mamasa,330400
Kab. Mamuju,330100
Kab. Pasangkayu,330200
Kab. Majene,330500
Kab. Mamuju Tengah,330600
Prov. Kalimantan Utara,340000
Kab. Nunukan,340500
Kota Tarakan,346000
Kab. Malinau,340100
Kab. Bulungan,340200
Kab. Tana Tidung,340300
Indonesia,000000
Prov. D.K.I. Jakarta,010000
Kab. Kepulauan Seribu,010100
Kota Jakarta Pusat,016000
Kota Jakarta Utara,016100
Kota Jakarta Barat,016200
Kota Jakarta Selatan,016300
Kota Jakarta Timur,016400
Prov. Jawa Barat,020000
Kab. Sumedang,021000
Kab. Majalengka,021600
Kab. Cirebon,021700
Kota Bogor,026100
Kota Sukabumi,026200
Kota Cirebon,026300
Kota Bekasi,026500
Kota Depok,026600
Kab. Garut,021100
Kab. Indramayu,021800
Kab. Subang,021900
Kota Cimahi,026700
Kota Tasikmalaya,026800
Kota Banjar,026900
Kab. Bogor,020500
Kab. Bandung,020800
Kab. Kuningan,021500
Kab. Bandung Barat,022300
Kab. Pangandaran,022500
Kota Bandung,026000
Kab. Sukabumi,020600
Kab. Tasikmalaya,021200
Kab. Purwakarta,022000
Kab. Karawang,022100
Kab. Cianjur,020700
Kab. Ciamis,021400
Kab. Bekasi,022200
Prov. Jawa Tengah,030000
Kab. Magelang,030800
Kab. Rembang,031700
Kab. Pati,031800
Kab. Batang,032500
Kab. Pekalongan,032600
Kab. Banjarnegara,030400
Kab. Sukoharjo,031100
Kab. Kudus,031900
Kota Pekalongan,036400
Kota Tegal,036500
Kab. Boyolali,030900
Kab. Klaten,031000
Kota Magelang,036000
Kota Surakarta,036100
Kota Salatiga,036200
Kota Semarang,036300
Kab. Cilacap,030100
Kab. Pemalang,032700
Kab. Banyumas,030200
Kab. Purbalingga,030300
Kab. Tegal,032800
Kab. Brebes,032900
Kab. Wonosobo,030700
Kab. Blora,031600
Kab. Kendal,032400
Kab. Kebumen,030500
Kab. Wonogiri,031200
Kab. Karanganyar,031300
Kab. Jepara,032000
Kab. Demak,032100
Kab. Purworejo,030600
Kab. Sragen,031400
Kab. Grobogan,031500
Kab. Semarang,032200
Kab. Temanggung,032300
Prov. D.I. Yogyakarta,040000
Kab. Bantul,040100
Kab. Sleman,040200
Kab. Gunung Kidul,040300
Kab. Kulon Progo,040400
Kota Yogyakarta,046000
Prov. Jawa Timur,050000
Kab. Trenggalek,051700
Kab. Malang,051800
Kab. Sumenep,052800
Kab. Bangkalan,052900
Kab. Jombang,050400
Kab. Bojonegoro,050500
Kab. Ponorogo,051100
Kab. Probolinggo,052000
Kota Malang,056100
Kota Madiun,056200
Kota Kediri,056300
Kota Mojokerto,056400
Kota Blitar,056500
Kota Pasuruan,056600
Kota Probolinggo,056700
Kota Batu,056800
Kab. Tuban,050600
Kab. Nganjuk,051400
Kab. Jember,052400
Kab. Banyuwangi,052500
Kab. Pacitan,051200
Kab. Kediri,051300
Kab. Lumajang,052100
Kab. Bondowoso,052200
Kab. Situbondo,052300
Kab. Mojokerto,050300
Kab. Ngawi,050900
Kab. Magetan,051000
Kab. Pasuruan,051900
Kota Surabaya,056000
Kab. Gresik,050100
Kab. Lamongan,050700
Kab. Blitar,051500
Kab. Tulungagung,051600
Kab. Pamekasan,052600
Kab. Sampang,052700
Kab. Sidoarjo,050200
Kab. Madiun,050800
Prov. Aceh,060000
Kab. Aceh Utara,060300
Kab. Aceh Selatan,060700
Kab. Aceh Tenggara,060800
Kota Subulussalam,066400
Kab. Aceh Besar,060100
Kab. Aceh Timur,060400
Kab. Bireuen,061200
Kab. Pidie,060200
Kab. Aceh Tengah,060500
Kab. Bener Meriah,061900
Kab. Aceh Jaya,061600
Kab. Aceh Barat Daya,061700
Kab. Gayo Lues,061800
Kab. Aceh Singkil,061300
Kab. Aceh Tamiang,061400
Kab. Nagan Raya,061500
Kab. Simeulue,061100
Kab. Aceh Barat,060600
Kab. Pidie Jaya,062000
Kota Sabang,066000
Kota Banda Aceh,066100
Kota Lhokseumawe,066200
Kota Langsa,066300
Prov. Sumatera Utara,070000
Kab. Deli Serdang,070100
Kab. Labuhan Batu,070700
Kab. Tapanuli Utara,070800
Kab. Tapanuli Tengah,070900
Kab. Pakpak Bharat,071800
Kab. Humbang Hasudutan,071900
Kab. Karo,070300
Kab. Simalungun,070400
Kab. Nias,071100
Kab. Batubara,072200
Kab. Padang Lawas utara,072300
Kab. Dairi,070500
Kab. Toba Samosir,071600
Kab. Nias Utara,072800
Kota Medan,076000
Kota Binjai,076100
Kab. Mandailing Natal,071500
Kab. Padang Lawas,072400
Kab. Labuhan Batu Utara,072500
Kab. Labuhan Batu Selatan,072600
Kab. Nias Barat,072700
Kab. Langkat,070200
Kab. Tapanuli Selatan,071000
Kab. Samosir,072000
Kab. Serdang Bedagai,072100
Kab. Asahan,070600
Kab. Nias Selatan,071700
Kota Tebing Tinggi,076200
Kota Pematangsiantar,076300
Kota Tanjung Balai,076400
Kota Sibolga,076500
Kota Padang Sidimpuan,076600
Kota Gunungsitoli,076700
Prov. Sumatera Barat,080000
Kab. Pasaman,080200
Kab. Lima Puluh Koto,080300
Kab. Solok,080400
Kab. Sijunjung,080800
Kab. Kepulauan Mentawai,081000
Kab. Solok Selatan,081100
Kab. Dharmasraya,081200
Kota Pariaman,086600
Kab. Pasaman Barat,081300
Kota Bukittinggi,086000
Kota Padang,086100
Kota Padang Panjang,086200
Kota Sawah Lunto,086300
Kota Solok,086400
Kota Payakumbuh,086500
Kab. Padang Pariaman,080500
Kab. Pesisir Selatan,080600
Kab. Tanah Datar,080700
Kab. Agam,080100
Prov. Riau,090000
Kab. Pelalawan,090800
Kab. Rokan Hulu,090900
Kab. Kuantan Singingi,091400
Kab. Kepulauan Meranti,091500
Kab. Kampar,090100
Kab. Bengkalis,090200
Kota Pekanbaru,096000
Kota Dumai,096200
Kab. Rokan Hilir,091000
Kab. Siak,091100
Kab. Indragiri Hulu,090400
Kab. Indragiri Hilir,090500
Prov. Jambi,100000
Kab. Tebo,100600
Kota Jambi,106000
Kota Sungai Penuh,106100
Kab. Batang Hari,100100
Kab. Bungo,100200
Kab. Muaro Jambi,100700
Kab. Tanjung Jabung Timur,100800
Kab. Merangin,100900
Kab. Sarolangun,100300
Kab. Tanjung Jabung Barat,100400
Kab. Kerinci,100500
Prov. Sumatera Selatan,110000
Kab. Ogan Ilir,111000
Kab. Empat Lawang,111100
Kab. Musi Banyuasin,110100
Kab. Banyuasin,110700
Kota Pagar Alam,116300
Kab. Musi Rawas,110600
Kab. Ogan Komering Ulu Timur,110800
Kab. Lahat,110500
Kab. Ogan Komering Ilir,110200
Kab. Ogan Komering Ulu,110300
Kab. Muara Enim,110400
Kab. Penukal Abab Lematang Ilir,111200
Kab. Musi Rawas Utara,111300
Kota Palembang,116000
Kota Prabumulih,116100
Kota Lubuk Linggau,116200
Kab. Ogan Komering Ulu Selatan,110900
Prov. Lampung,120000
Kab. Mesuji,121100
Kab. Tulang Bawang Barat,121200
Kab. Pesisir Barat,121300
Kab. Lampung Selatan,120100
Kab. Lampung Tengah,120200
Kab. Lampung Timur,120700
Kab. Way Kanan,120800
Kab. Tulang Bawang,120500
Kab. Tanggamus,120600
Kab. Lampung Utara,120300
Kab. Lampung Barat,120400
Kota Bandar Lampung,126000
Kota Metro,126100
Kab. Pesawaran,120900
Kab. Pringsewu,121000
Prov. Kalimantan Barat,130000
Kab. Bengkayang,130800
Kab. Landak,130900
Kab. Sekadau,131000
Kab. Mempawah,130200
Kab. Sanggau,130300
Kab. Sintang,130400
Kota Singkawang,136100
Kab. Kapuas Hulu,130500
Kab. Sambas,130100
Kab. Melawi,131100
Kab. Kayong Utara,131200
Kab. Kuburaya,131300
Kota Pontianak,136000
Kab. Ketapang,130600
Prov. Kalimantan Tengah,140000
Kab. Barito Timur,141300
Kota Palangka Raya,146000
Kab. Kapuas,140100
Kab. Barito Selatan,140200
Kab. Katingan,140600
Kab. Seruyan,140700
Kab. Sukamara,140800
Kab. Barito Utara,140300
Kab. Kotawaringin Timur,140400
Kab. Kotawaringin Barat,140500
Kab. Lamandau,140900
Kab. Gunung Mas,141000
Kab. Pulang Pisau,141100
Kab. Murung Raya,141200
Prov. Kalimantan Selatan,150000
Kab. Banjar,150100
Kab. Tapin,150400
Kab. Hulu Sungai Selatan,150500
Kab. Hulu Sungai Tengah,150600
Kab. Tanah Bumbu,151100
Kota Banjarmasin,156000
Kota Banjarbaru,156100
Kab. Hulu Sungai Utara,150700
Kab. Tabalong,150800
Kab. Kotabaru,150900
Kab. Balangan,151000
Kab. Tanah Laut,150200
Kab. Barito Kuala,150300
Prov. Kalimantan Timur,160000
Kab. Kutai Barat,160900
Kab. Kutai Timur,161000
Kab. Paser,160100
Kab. Penajam Paser Utara,161100
Kab. Mahakam Ulu,161200
Kota Samarinda,166000
Kota Balikpapan,166100
Kota Bontang,166300
Kab. Kutai Kartanegara,160200
Kab. Berau,160300
Prov. Sulawesi Utara,170000
Kota Manado,176000
Kota Bitung,176100
Kota Tomohon,176200
Kota Kotamobagu,176300
Kab. Minahasa,170200
Kab. Minahasa Utara,170600
Kab. Bolaang Mongondow Utara,170800
Kab. Kep. Sangihe,170300
Kab. Kepulauan Talaud,170400
Kab. Minahasa Selatan,170500
Kab. Bolaang Mongondow,170100
Kab. Kepulauan Siau Tagulandang Biaro,170900
Kab. Minahasa Tenggara,171000
Kab. Bolaang Mongondow Timur,171100
Kab. Bolaang Mongondow Selatan,171200
Prov. Sulawesi Tengah,180000
Kab. Banggai Kepulauan,180100
Kab. Tojo Una-Una,180900
Kab. Sigi,181000
Kab. Banggai,180400
Kab. Buol,180500
Kab. Tolitoli,180600
Kab. Morowali,180700
Kab. Donggala,180200
Kab. Poso,180300
Kab. Banggai Laut,181100
Kab. Morowali Utara,181200
Kota Palu,186000
Kab. Parigi Moutong,180800
Prov. Sulawesi Selatan,190000
Kab. Luwu Timur,192600
Kab. Toraja Utara,192700
Kab. Pangkajene Kepulauan,190200
Kab. Gowa,190300
Kab. Takalar,190400
Kab. Jeneponto,190500
Kab. Sidenreng Rappang,191500
Kab. Enrekang,191600
Kab. Luwu,191700
Kab. Bulukumba,191100
Kab. Sinjai,191200
Kab. Kepulauan Selayar,191300
Kab. Pinrang,191400
Kab. Barru,190600
Kab. Bone,190700
Kab. Wajo,190800
Kab. Soppeng,190900
Kab. Bantaeng,191000
Kab. Maros,190100
Kota Makassar,196000
Kota Parepare,196100
Kota Palopo,196200
Kab. Tana Toraja,191800
Kab. Luwu Utara,192400
Prov. Sulawesi Tenggara,200000
Kab. Konawe Selatan,200500
Kab. Konawe Utara,200900
Kab. Buton Utara,201000
Kab. Kolaka Timur,201100
Kab. Muna,200200
Kab. Buton,200300
Kota Baubau,206100
Kab. Konawe Kepulauan,201200
Kab. Muna Barat,201300
Kab. Buton Selatan,201400
Kab. Buton Tengah,201600
Kota Kendari,206000
Kab. Konawe,200100
Kab. Wakatobi,200600
Kab. Bombana,200700
Kab. Kolaka Utara,200800
Kab. Kolaka,200400
Prov. Maluku,210000
Kab. Seram Bagian Timur,210600
Kab. Kepulauan Aru,210700
Kota Ambon,216000
Kota Tual,216100
Kab. Maluku Tengah,210100
Kab. Maluku Tenggara,210200
Kab. Maluku Barat Daya,210800
Kab. Buru Selatan,210900
Kab. Buru,210300
Kab. Kepulauan Tanimbar,210400
Kab. Seram Bagian Barat,210500
Prov. Bali,220000
Kab. Buleleng,220100
Kab. Jembrana,220200
Kab. Tabanan,220300
Kab. Badung,220400
Kab. Gianyar,220500
Kab. Klungkung,220600
Kab. Bangli,220700
Kab. Karang Asem,220800
Kota Denpasar,226000
Prov. Nusa Tenggara Barat,230000
Kab. Sumbawa,230400
Kab. Dompu,230500
Kab. Lombok Barat,230100
Kab. Lombok Tengah,230200
Kab. Lombok Timur,230300
Kab. Bima,230600
Kab. Sumbawa Barat,230700
Kab. Lombok Utara,230800
Kota Mataram,236000
Kota Bima,236100
Prov. Nusa Tenggara Timur,240000
Kab. Kupang,240100
Kab. Timor Tengah Selatan,240300
Kab. Lembata,241400
Kab. Rote-Ndao,241500
Kab. Manggarai Barat,241600
Kab. Alor,240600
Kab. Flores Timur,240700
Kab. Manggarai Timur,242000
Kab. Sabu Raijua,242100
Kab. Malaka,242200
Kab. Ngada,241000
Kota Kupang,246000
Kab. Sikka,240800
Kab. Ende,240900
Kab. Timor Tengah Utara,240400
Kab. Belu,240500
Kab. Nagakeo,241700
Kab. Sumba Tengah,241800
Kab. Sumba Barat Daya,241900
Kab. Manggarai,241100
Kab. Sumba Timur,241200
